id,liwc.funct,liwc.pronoun,liwc.ppron,liwc.i,liwc.we,liwc.you,liwc.shehe,liwc.they,liwc.ipron,liwc.article,liwc.verb,liwc.auxverb,liwc.past,liwc.present,liwc.future,liwc.adverb,liwc.preps,liwc.conj,liwc.negate,liwc.quant,liwc.number,liwc.swear,liwc.social,liwc.family,liwc.friend,liwc.humans,liwc.affect,liwc.posemo,liwc.negemo,liwc.anx,liwc.anger,liwc.sad,liwc.cogmech,liwc.insight,liwc.cause,liwc.discrep,liwc.tentat,liwc.certain,liwc.inhib,liwc.incl,liwc.excl,liwc.percept,liwc.see,liwc.hear,liwc.feel,liwc.bio,liwc.body,liwc.health,liwc.sexual,liwc.ingest,liwc.relativ,liwc.motion,liwc.space,liwc.time,liwc.work,liwc.achieve,liwc.leisure,liwc.home,liwc.money,liwc.relig,liwc.death,liwc.assent,liwc.nonfl,liwc.filler
1649,16,4,3,0,0,3,1,2,2,3,3,2,2,2,0,3,4,3,0,2,1,4,6,0,0,2,5,3,0,0,0,0,17,2,1,5,5,2,2,3,4,2,1,0,1,2,0,1,0,2,6,3,3,5,2,3,1,0,2,0,0,0,1,0
1650,16,4,3,0,0,3,1,2,2,3,3,2,2,2,0,3,4,3,0,2,1,4,6,0,0,2,5,3,0,0,0,0,17,2,1,5,5,2,2,3,4,2,1,0,1,2,0,1,0,2,6,3,3,5,2,3,1,0,2,0,0,0,1,0
1651,34,11,10,0,0,10,7,4,7,10,10,2,2,6,0,2,17,6,0,3,0,4,14,0,0,3,6,5,0,0,0,0,22,4,3,1,3,2,1,11,0,5,2,2,1,2,1,0,0,10,10,5,11,5,3,6,0,0,1,1,0,1,6,0
1655,17,3,3,0,0,3,0,3,0,3,4,3,2,1,0,0,8,1,0,1,1,1,5,0,0,1,2,1,1,1,0,0,13,3,2,0,3,1,3,5,0,0,0,0,0,1,0,0,0,2,8,2,5,5,4,1,0,0,0,0,0,0,0,0
1657,32,10,9,0,0,9,7,3,7,9,10,2,3,5,0,3,17,5,0,3,0,4,13,0,0,3,6,6,1,0,1,0,24,3,5,1,3,2,1,12,1,4,2,1,1,2,1,0,0,9,12,6,12,7,3,6,0,0,1,1,0,0,7,0
1658,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,0,2,0,0,1,2,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,17,3,3,0,0,3,0,3,0,3,4,3,2,1,0,0,8,1,0,1,1,1,5,0,0,1,2,1,1,1,0,0,13,3,2,0,3,1,3,5,0,0,0,0,0,1,0,0,0,2,8,2,5,5,4,1,0,0,0,0,0,0,0,0
4510,21,8,6,0,1,5,1,4,3,6,6,2,1,5,0,2,8,2,0,2,0,5,9,0,0,1,5,5,0,0,0,0,21,6,2,2,6,3,3,6,3,5,1,0,1,2,0,2,0,7,15,4,7,8,7,9,0,1,2,0,0,0,0,0
4600,13,4,5,0,0,4,2,2,2,4,3,0,2,2,0,0,6,1,0,2,0,1,6,0,0,1,1,0,1,0,0,0,12,0,3,1,1,0,2,4,0,3,2,0,0,0,0,0,0,4,10,2,5,2,2,6,0,0,0,0,0,0,0,0
4603,15,3,3,0,0,2,2,2,1,2,5,4,0,3,0,0,5,2,0,3,1,1,4,0,0,1,3,1,1,0,1,1,12,1,1,2,2,0,3,5,1,0,0,0,0,3,0,3,0,0,4,3,0,2,4,3,0,0,3,0,0,0,0,0
4766,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,2,1,1,0,0,0,0,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0
4846,11,4,3,0,0,3,2,2,2,1,3,1,2,1,0,0,3,1,0,1,0,1,5,0,1,0,1,0,0,0,0,0,8,1,1,0,0,0,0,3,0,4,1,2,1,2,1,0,0,2,3,1,3,3,0,1,0,0,0,0,0,1,0,0
4908,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0
